firstname,middlename,surname,office,title,region,province,city
Bartolome,J,Sinocruz Jr.,Commission on Elections,Deputy Executive Director for Operations (ODEDO),,,
Loretta Ann,P,Rosales,Commission on Human Rights,Chairman,,,
Cecilia Rachel,V,Quisumbing,Commission on Human Rights,Commissioner,,,
Maria Victoria,V,Cardona,Commission on Human Rights,Commissioner,,,
Norberto,,Dela Cruz,Commission on Human Rights,Commissioner,,,
Jose Manuel,S,Mamauag,Commission on Human Rights,Commissioner,,,
Maria Asuncion,,Maravilla,Commission on Human Rights,Commission Secretary,,,
Fabian,G,Santos,Commission on Human Rights,Executive Director/Operations Support Division,,,
Conchita,,Carpio Morales,Office of the Ombudsman,Ombudsman,,,
Melchor Arthur,H,Carandang,Office of the Ombudsman,Overall Deputy Ombudsman,,,
Gerard,A,Mosquera,Office of the Ombudsman,"Deputy Ombudsman, Luzon",,,
Pelagio,S,Apostol,Office of the Ombudsman,"Deputy Ombudsman, Visayas",,,
Humphrey,T,Monteroso,Office of the Ombudsman,"Deputy Ombudsman, Mindanao",,,
Rudiger,G,Falcis II,Office of the Ombudsman,OIC-Deputy Ombudsman for the Military & Other Law Enforcement Offices,,,
